"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
95,75,0.2,"TT",15.0280110472275
95,75,0.2,"TT",14.971374660084
95,75,0.2,"TT",14.0541925805539
95,75,0.2,"TT",13.0319458025766
95,75,0.2,"TT",14.2714064614454
95,75,0.2,"TT",13.747918896857
95,75,0.2,"TT",14.5604676026307
95,75,0.2,"TT",12.543807903203
95,75,0.2,"TT",14.8539808527374
95,75,0.2,"TT",12.2367417959309
95,75,0.2,"TT",14.7102470319111
95,75,0.2,"TT",14.0393899162118
95,75,0.2,"TT",14.2970825309546
95,75,0.2,"TT",13.7255585535519
95,75,0.2,"TT",14.0894009944732
95,75,0.2,"TT",13.2852664174805
95,75,0.2,"TT",15.3228196140323
95,75,0.2,"TT",12.8325286616611
95,75,0.2,"TT",15.6095671258393
95,75,0.2,"TT",13.2734347579551
95,75,0.2,"TT",12.5427622255659
95,75,0.2,"TT",15.009554478228
95,75,0.2,"TT",13.8296270984461
95,75,0.2,"TT",12.9720069765864
95,75,0.2,"TT",14.2053389457595
95,75,0.2,"TT",14.2224192749216
95,75,0.2,"TT",14.4615212234958
95,75,0.2,"TT",14.1678023904606
95,75,0.2,"TT",14.0076494419536
95,75,0.2,"TT",13.6389669247678
95,75,0.2,"TT",13.9376697691699
95,75,0.2,"TT",14.4468896090363
95,75,0.2,"TT",15.3647441310304
95,75,0.2,"TT",14.8957021528721
95,75,0.2,"TT",13.5302182292508
95,75,0.2,"TT",15.3024976497777
95,75,0.2,"TT",15.124773742479
95,75,0.2,"TT",15.219812714347
95,75,0.2,"TT",12.7158867821206
95,75,0.2,"TT",13.4465063084067
95,75,0.2,"TT",13.9652255141676
95,75,0.2,"TT",15.055098866322
95,75,0.2,"TT",15.1203268286628
95,75,0.2,"TT",14.3025900749312
95,75,0.2,"TT",13.6636204638295
95,75,0.2,"TT",12.0293084352877
95,75,0.2,"TT",12.1174998806601
95,75,0.2,"TT",13.2877236288803
95,75,0.2,"TT",16.2258127130226
95,75,0.2,"TT",15.7922451809849
95,75,0.2,"TT",12.6214335034325
95,75,0.2,"TT",16.0331594127742
95,75,0.2,"TT",15.7758224296579
95,75,0.2,"TT",13.7902932778786
95,75,0.2,"TT",15.0503309352308
95,75,0.2,"TT",15.3494447647265
95,75,0.2,"TT",13.0369498904775
95,75,0.2,"TT",13.539201887315
95,75,0.2,"TT",11.6959987674993
95,75,0.2,"TT",16.1140079548545
95,75,0.2,"TT",15.2759914083725
95,75,0.2,"TT",13.4782948075218
95,75,0.2,"TT",13.8377073615446
95,75,0.2,"TT",13.7300037837725
95,75,0.2,"TT",13.6407911838898
95,75,0.2,"TT",13.988293637799
95,75,0.2,"TT",14.7654226702148
95,75,0.2,"TT",14.5607785000536
95,75,0.2,"TT",14.5683529179517
95,75,0.2,"TT",14.0882726267963
95,75,0.2,"TT",13.5205039718711
95,75,0.2,"TT",14.9262519057172
95,75,0.2,"TT",15.2223777726302
95,75,0.2,"TT",13.3101516790482
95,75,0.2,"TT",12.16331585741
95,75,0.2,"TT",12.7918905368121
95,75,0.2,"TT",15.1012735489386
95,75,0.2,"TT",14.4804352928135
95,75,0.2,"TT",13.7833490002077
95,75,0.2,"TT",14.8080545945739
95,75,0.2,"TT",15.0194458993268
95,75,0.2,"TT",14.117629699081
95,75,0.2,"TT",14.5811254807547
95,75,0.2,"TT",13.5533713113513
95,75,0.2,"TT",14.0796211073767
95,75,0.2,"TT",13.2721675697386
95,75,0.2,"TT",14.2811135384552
95,75,0.2,"TT",14.7388408207537
95,75,0.2,"TT",15.4519559934027
95,75,0.2,"TT",15.4527449470352
95,75,0.2,"TT",14.4932372018534
95,75,0.2,"TT",12.9319959303953
95,75,0.2,"TT",14.7347479074183
95,75,0.2,"TT",16.0955650924264
95,75,0.2,"TT",14.2105198780449
95,75,0.2,"TT",13.7661500893851
95,75,0.2,"TT",15.3399403134391
95,75,0.2,"TT",13.9704554299368
95,75,0.2,"TT",14.0880788115462
95,75,0.2,"TT",13.5031267548407
