"Prev.Length","Match.Score","Tile.Size","Prev.Type","Browse.Time"
90,69,0.2,"TT",12.0795132759502
85,64,0.2,"TT",11.841940438941
80,59,0.2,"TT",13.4168552348107
90,69,0.2,"TT",12.4333409654753
85,64,0.2,"TT",12.0691350582078
80,59,0.2,"TT",11.7830005054099
90,69,0.2,"TT",11.7656971794373
85,64,0.2,"TT",11.1109220837669
80,59,0.2,"TT",14.1851366548712
90,69,0.2,"TT",13.3361499547731
85,64,0.2,"TT",11.2198836487991
80,59,0.2,"TT",12.4861915589637
90,69,0.2,"TT",9.95869110377913
85,64,0.2,"TT",11.3571870858685
80,59,0.2,"TT",11.5786833184299
90,69,0.2,"TT",12.7235375971559
85,64,0.2,"TT",14.8106341632571
80,59,0.2,"TT",12.4166898993353
90,69,0.2,"TT",11.5837871526782
85,64,0.2,"TT",12.1994163988497
80,59,0.2,"TT",12.8677087190995
90,69,0.2,"TT",11.6447580216314
85,64,0.2,"TT",12.4696809076219
80,59,0.2,"TT",13.6412466262295
90,69,0.2,"TT",12.1394351289064
85,64,0.2,"TT",11.9325488687128
80,59,0.2,"TT",13.7980449305441
90,69,0.2,"TT",12.6870514305309
85,64,0.2,"TT",12.4694938973554
80,59,0.2,"TT",13.1643615833555
90,69,0.2,"TT",14.0805100148433
85,64,0.2,"TT",11.8701714119255
80,59,0.2,"TT",12.0005119132321
90,69,0.2,"TT",13.5803941369907
85,64,0.2,"TT",11.7944647412092
80,59,0.2,"TT",12.426341543536
90,69,0.2,"TT",11.7128160184164
85,64,0.2,"TT",12.6980289290787
80,59,0.2,"TT",13.9304495458658
90,69,0.2,"TT",13.89924122314
85,64,0.2,"TT",13.0983669880161
80,59,0.2,"TT",12.3864004410338
90,69,0.2,"TT",12.0465698172967
85,64,0.2,"TT",12.1819465342268
80,59,0.2,"TT",12.7039263067833
90,69,0.2,"TT",11.4020964190961
85,64,0.2,"TT",13.2180682635879
80,59,0.2,"TT",12.71871804759
90,69,0.2,"TT",13.3548382308693
85,64,0.2,"TT",11.6723155837712
80,59,0.2,"TT",12.721896604446
90,69,0.2,"TT",11.6945939578013
85,64,0.2,"TT",11.9451187318708
80,59,0.2,"TT",12.5505392595003
90,69,0.2,"TT",11.2577317474143
85,64,0.2,"TT",13.0194831735879
80,59,0.2,"TT",12.3844439853813
90,69,0.2,"TT",13.3777341888685
85,64,0.2,"TT",10.8547509234589
80,59,0.2,"TT",13.5488328882703
90,69,0.2,"TT",11.5370439007703
85,64,0.2,"TT",14.0443338331467
80,59,0.2,"TT",12.2253432795713
90,69,0.2,"TT",13.9068957985454
85,64,0.2,"TT",11.5810991259548
80,59,0.2,"TT",13.2097050641375
90,69,0.2,"TT",12.7769717400891
85,64,0.2,"TT",11.5185395582042
80,59,0.2,"TT",12.6611641241317
90,69,0.2,"TT",10.8587483885398
85,64,0.2,"TT",14.3024119765371
80,59,0.2,"TT",12.4465621609174
90,69,0.2,"TT",9.11183461379236
85,64,0.2,"TT",12.233060269985
80,59,0.2,"TT",13.9477419269531
90,69,0.2,"TT",12.6406742923971
85,64,0.2,"TT",13.3469834452743
80,59,0.2,"TT",11.7503001921093
90,69,0.2,"TT",12.1551743016636
85,64,0.2,"TT",11.2094228858401
80,59,0.2,"TT",11.283152313563
90,69,0.2,"TT",11.1742640838694
85,64,0.2,"TT",10.8900136098279
80,59,0.2,"TT",11.3540721309668
90,69,0.2,"TT",11.6143291036
85,64,0.2,"TT",12.503171174216
80,59,0.2,"TT",13.2109355590112
90,69,0.2,"TT",11.1933865509594
85,64,0.2,"TT",11.8437043802782
80,59,0.2,"TT",13.28797801271
90,69,0.2,"TT",12.9135726955812
85,64,0.2,"TT",10.2473424686424
80,59,0.2,"TT",12.9820535686523
90,69,0.2,"TT",12.306570489586
85,64,0.2,"TT",10.5074966335831
80,59,0.2,"TT",12.0332820176012
90,69,0.2,"TT",10.9052026445262
85,64,0.2,"TT",10.6039214023874
80,59,0.2,"TT",14.6853729997188
90,69,0.2,"TT",10.2328776675109
85,64,0.2,"TT",12.4963013552797
80,59,0.2,"TT",12.1116452577338
90,69,0.2,"TT",13.3739633664756
85,64,0.2,"TT",11.0395643441123
80,59,0.2,"TT",13.7831161379092
90,69,0.2,"TT",11.6553290102909
85,64,0.2,"TT",11.8742995290268
80,59,0.2,"TT",12.7701423896358
90,69,0.2,"TT",10.822345692851
85,64,0.2,"TT",12.0455802774441
80,59,0.2,"TT",11.4605960751383
90,69,0.2,"TT",11.9089088679931
85,64,0.2,"TT",12.2684253523159
80,59,0.2,"TT",14.4036638474999
90,69,0.2,"TT",11.7013179265137
85,64,0.2,"TT",11.622115968464
80,59,0.2,"TT",12.8099758221984
90,69,0.2,"TT",12.3697700264147
85,64,0.2,"TT",13.9312271343604
80,59,0.2,"TT",13.119983674539
90,69,0.2,"TT",13.3047178823431
85,64,0.2,"TT",12.2389824517747
80,59,0.2,"TT",13.149264978882
90,69,0.2,"TT",11.8153690922986
85,64,0.2,"TT",12.0066289393473
80,59,0.2,"TT",15.4866294152665
90,69,0.2,"TT",12.1590489933857
85,64,0.2,"TT",12.7370519030362
80,59,0.2,"TT",13.9032075012978
90,69,0.2,"TT",13.0285208847338
85,64,0.2,"TT",13.7214033573856
80,59,0.2,"TT",11.7143628337753
90,69,0.2,"TT",12.8944324936866
85,64,0.2,"TT",12.7671014002481
80,59,0.2,"TT",13.3301047118304
90,69,0.2,"TT",12.8561975204431
85,64,0.2,"TT",12.8834930847238
80,59,0.2,"TT",12.5586039767677
90,69,0.2,"TT",12.8559000756437
85,64,0.2,"TT",12.2118047620312
80,59,0.2,"TT",12.7842375423245
90,69,0.2,"TT",13.5793847665322
85,64,0.2,"TT",12.1218498601644
80,59,0.2,"TT",12.4111968155145
90,69,0.2,"TT",13.9863291162508
85,64,0.2,"TT",12.0242709185881
80,59,0.2,"TT",12.1227228061002
90,69,0.2,"TT",10.9012168571405
85,64,0.2,"TT",12.589563626264
80,59,0.2,"TT",13.9503692387822
